"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051304","BP","GO:0051304","chromosome separation","29/1703","82/20772",4.3213356892361e-12,2.10808685398221e-09,2.03153594681326e-09,"TOP3A/PPP2R1A/KNTC1/MAD2L1BP/NCAPH2/FBXO5/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/SPC25/NCAPG/ESPL1/TTK/CCNB1/NCAPH/MAD2L2/CDCA8/CDT1/HASPIN/CDC20/SPC24/PLK1/BIRC5/AURKB",29
"GO:0006858","BP","GO:0006858","extracellular transport","21/1703","44/20772",4.36231113084783e-12,2.10808685398221e-09,2.03153594681326e-09,"ROPN1L/DAW1/DNAAF1/DNAI1/SPAG17/CFAP43/SPAG6/DNAH5/CFAP54/SPEF2/NME5/DNAAF11/CFAP221/AQP4/NEK10/CFAP53/JHY/CCDC40/SPA17/ODAD3/SPAG16",21
"GO:0033046","BP","GO:0033046","negative regulation of sister chromatid segregation","22/1703","49/20772",6.30981298287329e-12,2.28691284298014e-09,2.20386823197857e-09,"KNTC1/MAD2L1BP/FBXO5/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/CENPF/SPC25/TTK/CCNB1/MAD2L2/CDCA8/CDT1/HASPIN/CDC20/SPC24/PLK1/BIRC5/AURKB",22
"GO:0033048","BP","GO:0033048","negative regulation of mitotic sister chromatid segregation","22/1703","49/20772",6.30981298287329e-12,2.28691284298014e-09,2.20386823197857e-09,"KNTC1/MAD2L1BP/FBXO5/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/CENPF/SPC25/TTK/CCNB1/MAD2L2/CDCA8/CDT1/HASPIN/CDC20/SPC24/PLK1/BIRC5/AURKB",22
"GO:0045841","BP","GO:0045841","negative regulation of mitotic metaphase/anaphase transition","22/1703","49/20772",6.30981298287329e-12,2.28691284298014e-09,2.20386823197857e-09,"KNTC1/MAD2L1BP/FBXO5/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/CENPF/SPC25/TTK/CCNB1/MAD2L2/CDCA8/CDT1/HASPIN/CDC20/SPC24/PLK1/BIRC5/AURKB",22
"GO:2000816","BP","GO:2000816","negative regulation of mitotic sister chromatid separation","22/1703","49/20772",6.30981298287329e-12,2.28691284298014e-09,2.20386823197857e-09,"KNTC1/MAD2L1BP/FBXO5/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/CENPF/SPC25/TTK/CCNB1/MAD2L2/CDCA8/CDT1/HASPIN/CDC20/SPC24/PLK1/BIRC5/AURKB",22
"GO:0010965","BP","GO:0010965","regulation of mitotic sister chromatid separation","24/1703","59/20772",9.39109283212936e-12,3.20346749020695e-09,3.08714005236996e-09,"KNTC1/MAD2L1BP/FBXO5/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/SPC25/ESPL1/TTK/CCNB1/MAD2L2/CDCA8/CDT1/HASPIN/CDC20/SPC24/PLK1/BIRC5/AURKB",24
"GO:1905818","BP","GO:1905818","regulation of chromosome separation","27/1703","75/20772",1.45935406132466e-11,4.65944330361251e-09,4.49024505112112e-09,"KNTC1/MAD2L1BP/NCAPH2/FBXO5/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/SPC25/NCAPG/ESPL1/TTK/CCNB1/NCAPH/MAD2L2/CDCA8/CDT1/HASPIN/CDC20/SPC24/PLK1/BIRC5/AURKB",27
"GO:0051985","BP","GO:0051985","negative regulation of chromosome segregation","22/1703","51/20772",1.68733073591762e-11,4.65944330361251e-09,4.49024505112112e-09,"KNTC1/MAD2L1BP/FBXO5/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/CENPF/SPC25/TTK/CCNB1/MAD2L2/CDCA8/CDT1/HASPIN/CDC20/SPC24/PLK1/BIRC5/AURKB",22
"GO:1902100","BP","GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","22/1703","51/20772",1.68733073591762e-11,4.65944330361251e-09,4.49024505112112e-09,"KNTC1/MAD2L1BP/FBXO5/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/CENPF/SPC25/TTK/CCNB1/MAD2L2/CDCA8/CDT1/HASPIN/CDC20/SPC24/PLK1/BIRC5/AURKB",22
"GO:1905819","BP","GO:1905819","negative regulation of chromosome separation","22/1703","51/20772",1.68733073591762e-11,4.65944330361251e-09,4.49024505112112e-09,"KNTC1/MAD2L1BP/FBXO5/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/CENPF/SPC25/TTK/CCNB1/MAD2L2/CDCA8/CDT1/HASPIN/CDC20/SPC24/PLK1/BIRC5/AURKB",22
"GO:0007094","BP","GO:0007094","mitotic spindle assembly checkpoint signaling","21/1703","47/20772",2.13852179597291e-11,5.16720328951955e-09,4.97956676088605e-09,"KNTC1/MAD2L1BP/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/CENPF/SPC25/TTK/CCNB1/MAD2L2/CDCA8/CDT1/HASPIN/CDC20/SPC24/PLK1/BIRC5/AURKB",21
"GO:0071173","BP","GO:0071173","spindle assembly checkpoint signaling","21/1703","47/20772",2.13852179597291e-11,5.16720328951955e-09,4.97956676088605e-09,"KNTC1/MAD2L1BP/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/CENPF/SPC25/TTK/CCNB1/MAD2L2/CDCA8/CDT1/HASPIN/CDC20/SPC24/PLK1/BIRC5/AURKB",21
"GO:0071174","BP","GO:0071174","mitotic spindle checkpoint signaling","21/1703","47/20772",2.13852179597291e-11,5.16720328951955e-09,4.97956676088605e-09,"KNTC1/MAD2L1BP/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/CENPF/SPC25/TTK/CCNB1/MAD2L2/CDCA8/CDT1/HASPIN/CDC20/SPC24/PLK1/BIRC5/AURKB",21
"GO:0031577","BP","GO:0031577","spindle checkpoint signaling","21/1703","48/20772",3.50876242226204e-11,8.13892531467904e-09,7.84337671570072e-09,"KNTC1/MAD2L1BP/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/CENPF/SPC25/TTK/CCNB1/MAD2L2/CDCA8/CDT1/HASPIN/CDC20/SPC24/PLK1/BIRC5/AURKB",21
"GO:0033047","BP","GO:0033047","regulation of mitotic sister chromatid segregation","22/1703","54/20772",6.63101246496338e-11,1.38466236432247e-08,1.33438115322751e-08,"KNTC1/MAD2L1BP/FBXO5/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/CENPF/SPC25/TTK/CCNB1/MAD2L2/CDCA8/CDT1/HASPIN/CDC20/SPC24/PLK1/BIRC5/AURKB",22
"GO:0001539","BP","GO:0001539","cilium or flagellum-dependent cell motility","41/1703","164/20772",6.71679169317091e-11,1.38466236432247e-08,1.33438115322751e-08,"HOATZ/TEKT1/DNAAF6/ROPN1L/DNAI3/CFAP52/RSPH4A/TEKT4/GAS2L2/DNAI1/DRC7/CFAP47/CFAP65/DRC1/DNAH3/CFAP43/SPAG6/SLC22A16/CFAP206/DNAH5/CFAP54/MEIG1/DNAH7/CCDC65/SPEF2/DNAAF11/CFAP221/CFAP58/PLTP/TTC12/CFAP46/ARMC2/CFAP69/CCDC40/CFAP251/ENKUR/ODAD3/SPAG16/LZTFL1/CCSAP/TAC4",41
"GO:0060285","BP","GO:0060285","cilium-dependent cell motility","41/1703","164/20772",6.71679169317091e-11,1.38466236432247e-08,1.33438115322751e-08,"HOATZ/TEKT1/DNAAF6/ROPN1L/DNAI3/CFAP52/RSPH4A/TEKT4/GAS2L2/DNAI1/DRC7/CFAP47/CFAP65/DRC1/DNAH3/CFAP43/SPAG6/SLC22A16/CFAP206/DNAH5/CFAP54/MEIG1/DNAH7/CCDC65/SPEF2/DNAAF11/CFAP221/CFAP58/PLTP/TTC12/CFAP46/ARMC2/CFAP69/CCDC40/CFAP251/ENKUR/ODAD3/SPAG16/LZTFL1/CCSAP/TAC4",41
"GO:0007059","BP","GO:0007059","chromosome segregation","85/1703","499/20772",6.92450570190578e-11,1.38466236432247e-08,1.33438115322751e-08,"CCDC69/CHMP4C/SYCP2/GEM/NEK7/ARL8B/UBE2I/BAG6/MACROH2A1/TOP3A/SMARCD1/CEP85/TUBG1/PPP2R1A/SMARCB1/SAC3D1/TNKS/RACGAP1/GPSM2/PSMC3IP/KNTC1/STIL/CHAMP1/MAD2L1BP/NCAPH2/EHMT2/FBXO5/ECT2/BRIP1/CCSAP/KIF4A/TRIP13/TUBB/PRC1/HAUS8/BUB1/NUF2/NDC80/ZWINT/OIP5/BUB1B/DLGAP5/CENPF/KIF11/KIF22/KIF15/KNL1/FANCD2/BCL7A/SKA3/SPAG5/SPC25/DPF1/EME1/NCAPG/HJURP/ESPL1/CENPJ/TTK/CCNB1/CDCA5/TACC3/NCAPH/MAD2L2/PTTG1/CDCA8/SGO1/NEK2/CCNB2/SKA1/UBE2C/CDT1/HASPIN/KIF2C/MND1/CDC20/SPC24/CENPH/PLK1/MYBL2/BIRC5/PTTG3P/KIFC1/AURKB/KIF18B",85
"GO:0007091","BP","GO:0007091","metaphase/anaphase transition of mitotic cell cycle","30/1703","98/20772",1.17548091227053e-10,2.27220460341894e-08,2.18969409236641e-08,"SMARCD1/SMARCB1/KNTC1/MAD2L1BP/FBXO5/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/BCL7A/SPC25/DPF1/ESPL1/TTK/CCNB1/TACC3/MAD2L2/CDCA8/UBE2C/CDT1/HASPIN/CDC20/SPC24/PLK1/BIRC5/AURKB",30
"GO:0000070","BP","GO:0000070","mitotic sister chromatid segregation","48/1703","217/20772",1.67954094445441e-10,3.14182514093262e-08,3.02773612024056e-08,"CHMP4C/MACROH2A1/TUBG1/PPP2R1A/TNKS/RACGAP1/KNTC1/CHAMP1/MAD2L1BP/NCAPH2/FBXO5/CCSAP/KIF4A/TRIP13/PRC1/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/KIF11/KIF22/KIF15/SPAG5/SPC25/NCAPG/ESPL1/TTK/CCNB1/CDCA5/NCAPH/MAD2L2/CDCA8/SGO1/NEK2/CDT1/HASPIN/KIF2C/CDC20/SPC24/PLK1/MYBL2/BIRC5/KIFC1/AURKB/KIF18B",48
"GO:0030071","BP","GO:0030071","regulation of mitotic metaphase/anaphase transition","29/1703","94/20772",1.94055242792119e-10,3.51664485297343e-08,3.38894501310316e-08,"SMARCD1/SMARCB1/KNTC1/MAD2L1BP/FBXO5/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/BCL7A/SPC25/DPF1/ESPL1/TTK/CCNB1/MAD2L2/CDCA8/UBE2C/CDT1/HASPIN/CDC20/SPC24/PLK1/BIRC5/AURKB",29
"GO:0045839","BP","GO:0045839","negative regulation of mitotic nuclear division","22/1703","57/20772",2.32988000112908e-10,4.09423458380229e-08,3.94556074194396e-08,"KNTC1/MAD2L1BP/FBXO5/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/CENPF/SPC25/TTK/CCNB1/MAD2L2/CDCA8/CDT1/HASPIN/CDC20/SPC24/PLK1/BIRC5/AURKB",22
"GO:0044784","BP","GO:0044784","metaphase/anaphase transition of cell cycle","30/1703","102/20772",3.51292089960875e-10,5.99159655789151e-08,5.77402385635383e-08,"SMARCD1/SMARCB1/KNTC1/MAD2L1BP/FBXO5/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/BCL7A/SPC25/DPF1/ESPL1/TTK/CCNB1/TACC3/MAD2L2/CDCA8/UBE2C/CDT1/HASPIN/CDC20/SPC24/PLK1/BIRC5/AURKB",30
"GO:0051784","BP","GO:0051784","negative regulation of nuclear division","23/1703","64/20772",4.8766272424191e-10,8.07987467965381e-08,7.78647038496331e-08,"KNTC1/MAD2L1BP/FBXO5/TRIP13/FBXO43/BUB1/NUF2/NDC80/ZWINT/BUB1B/CENPF/SPC25/TTK/CCNB1/MAD2L2/CDCA8/CDT1/HASPIN/CDC20/SPC24/PLK1/BIRC5/AURKB",23
"GO:1902099","BP","GO:1902099","regulation of metaphase/anaphase transition of cell cycle","29/1703","98/20772",5.86810400582508e-10,9.4525375360499e-08,9.10928776810683e-08,"SMARCD1/SMARCB1/KNTC1/MAD2L1BP/FBXO5/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/BCL7A/SPC25/DPF1/ESPL1/TTK/CCNB1/MAD2L2/CDCA8/UBE2C/CDT1/HASPIN/CDC20/SPC24/PLK1/BIRC5/AURKB",29
"GO:0000819","BP","GO:0000819","sister chromatid segregation","54/1703","272/20772",8.74212163927927e-10,1.37015036178866e-07,1.32039612469228e-07,"CHMP4C/MACROH2A1/SMARCD1/TUBG1/PPP2R1A/SMARCB1/TNKS/RACGAP1/KNTC1/CHAMP1/MAD2L1BP/NCAPH2/FBXO5/CCSAP/KIF4A/TRIP13/PRC1/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/KIF11/KIF22/KIF15/BCL7A/SPAG5/SPC25/DPF1/NCAPG/ESPL1/TTK/CCNB1/CDCA5/TACC3/NCAPH/MAD2L2/CDCA8/SGO1/NEK2/UBE2C/CDT1/HASPIN/KIF2C/CDC20/SPC24/PLK1/MYBL2/BIRC5/KIFC1/AURKB/KIF18B",54
"GO:0098813","BP","GO:0098813","nuclear chromosome segregation","68/1703","384/20772",1.0688881884539e-09,1.63117963285373e-07,1.57194664612237e-07,"CHMP4C/SYCP2/GEM/BAG6/MACROH2A1/SMARCD1/TUBG1/PPP2R1A/SMARCB1/TNKS/RACGAP1/PSMC3IP/KNTC1/CHAMP1/MAD2L1BP/NCAPH2/EHMT2/FBXO5/ECT2/BRIP1/CCSAP/KIF4A/TRIP13/PRC1/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/KIF11/KIF22/KIF15/KNL1/FANCD2/BCL7A/SPAG5/SPC25/DPF1/EME1/NCAPG/ESPL1/TTK/CCNB1/CDCA5/TACC3/NCAPH/MAD2L2/PTTG1/CDCA8/SGO1/NEK2/CCNB2/UBE2C/CDT1/HASPIN/KIF2C/MND1/CDC20/SPC24/PLK1/MYBL2/BIRC5/PTTG3P/KIFC1/AURKB/KIF18B",68
"GO:0140014","BP","GO:0140014","mitotic nuclear division","59/1703","315/20772",1.54400799699392e-09,2.29582112168403e-07,2.21245302457239e-07,"EREG/CAV2/CHMP4C/USP16/UBE2I/MACROH2A1/CEP85/TUBG1/PPP2R1A/TNKS/RACGAP1/KNTC1/CHAMP1/MAD2L1BP/NCAPH2/FBXO5/CCSAP/KIF4A/TRIP13/PRC1/FBXO43/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/KIF11/KIF22/KIF15/SPAG5/SPC25/NCAPG/ESPL1/TTK/CCNB1/CDCA5/NCAPH/MAD2L2/CDCA8/SGO1/NEK2/UBE2C/PKMYT1/CDT1/PDXP/HASPIN/KIF2C/CDC20/SPC24/PLK1/MYBL2/BIRC5/CDC25C/KIFC1/AURKB/UBE2S/KIF18B",59
"GO:0033045","BP","GO:0033045","regulation of sister chromatid segregation","30/1703","108/20772",1.61090993124878e-09,2.33541667282792e-07,2.25061074342099e-07,"SMARCD1/SMARCB1/KNTC1/MAD2L1BP/FBXO5/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/BCL7A/SPC25/DPF1/ESPL1/TTK/CCNB1/TACC3/MAD2L2/CDCA8/UBE2C/CDT1/HASPIN/CDC20/SPC24/PLK1/BIRC5/AURKB",30
"GO:0060294","BP","GO:0060294","cilium movement involved in cell motility","37/1703","154/20772",1.86268088831098e-09,2.63455767593058e-07,2.53888904648087e-07,"HOATZ/TEKT1/DNAAF6/ROPN1L/DNAI3/CFAP52/RSPH4A/TEKT4/GAS2L2/DNAI1/DRC7/CFAP47/CFAP65/CFAP43/SPAG6/SLC22A16/CFAP206/DNAH5/CFAP54/MEIG1/SPEF2/DNAAF11/CFAP221/CFAP58/PLTP/TTC12/CFAP46/ARMC2/CFAP69/CCDC40/CFAP251/ENKUR/ODAD3/SPAG16/LZTFL1/CCSAP/TAC4",37
"GO:0051983","BP","GO:0051983","regulation of chromosome segregation","34/1703","136/20772",2.7900167758403e-09,3.85221601978521e-07,3.71233059221457e-07,"SMARCD1/SMARCB1/KNTC1/MAD2L1BP/NCAPH2/FBXO5/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/BCL7A/SPC25/DPF1/NCAPG/ESPL1/TTK/CCNB1/TACC3/NCAPH/MAD2L2/CDCA8/UBE2C/CDT1/HASPIN/KIF2C/CDC20/SPC24/PLK1/BIRC5/AURKB",34
"GO:2001251","BP","GO:2001251","negative regulation of chromosome organization","27/1703","98/20772",1.26505428895621e-08,1.70605809805978e-06,1.64410605142436e-06,"EXOSC10/TNKS/KNTC1/MAD2L1BP/FBXO5/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/CENPF/SPC25/ESPL1/TTK/CCNB1/MAD2L2/CDCA8/MCM2/PIF1/CDT1/HASPIN/CDC20/SPC24/PLK1/BIRC5/AURKB",27
"GO:0007088","BP","GO:0007088","regulation of mitotic nuclear division","31/1703","125/20772",1.69213107996832e-08,2.23015184834916e-06,2.1491683979789e-06,"EREG/CAV2/KNTC1/MAD2L1BP/FBXO5/TRIP13/FBXO43/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/SPC25/ESPL1/TTK/CCNB1/MAD2L2/CDCA8/NEK2/PKMYT1/CDT1/PDXP/HASPIN/CDC20/SPC24/PLK1/BIRC5/CDC25C/AURKB",31
"GO:0007051","BP","GO:0007051","spindle organization","46/1703","235/20772",2.397832960754e-08,3.09000740875832e-06,2.97780004412702e-06,"SPATA17/CCDC69/CHMP4C/TACC1/NEK7/CLTC/TUBG1/PPP2R1A/SAC3D1/TNKS/RACGAP1/GPSM2/STIL/CEP72/FBXO5/CCSAP/KIF4A/TUBB/FSD1/PRC1/HAUS8/NUF2/NDC80/STMN1/DLGAP5/KIF11/KIF15/SPAG5/SPC25/ESPL1/CENPJ/TTK/CCNB1/TACC3/CDCA8/AUNIP/NEK2/CCNB2/WDR62/CDC20/CENPH/PLK1/MYBL2/BIRC5/KIFC1/AURKB",46
"GO:0006261","BP","GO:0006261","DNA-templated DNA replication","36/1703","162/20772",2.76442647264329e-08,3.48498024236053e-06,3.358430238733e-06,"PURA/NUGGC/LIG3/MCM3/ALYREF/KAT7/MCM4/POLA2/WDR18/FEN1/RFC4/RFC3/FBXO5/TIMELESS/CDC7/LIG1/DNA2/ENDOG/MCM5/E2F8/GINS2/TONSL/ORC6/CHTF18/TICRR/POLD1/RAD51/RECQL4/EME1/POLQ/ORC1/MCM7/TRAIP/MCM2/CDT1/CDC45",36
"GO:0008608","BP","GO:0008608","attachment of spindle microtubules to kinetochore","17/1703","46/20772",5.52825091757067e-08,6.82092065340262e-06,6.57323272595357e-06,"RACGAP1/CHAMP1/ECT2/NUF2/NDC80/KNL1/SPAG5/SPC25/CCNB1/CDCA8/SGO1/NEK2/CDT1/KIF2C/SPC24/BIRC5/AURKB",17
"GO:0007288","BP","GO:0007288","sperm axoneme assembly","13/1703","28/20772",8.37567919618549e-08,1.01188674288916e-05,9.75142123959403e-06,"DRC7/CFAP47/CFAP65/CFAP43/SPAG6/CFAP206/MEIG1/SPEF2/CFAP58/TTC12/ARMC2/CFAP69/SPAG16",13
"GO:0036158","BP","GO:0036158","outer dynein arm assembly","12/1703","24/20772",9.44230303874976e-08,1.10141446869919e-05,1.06141883161779e-05,"DNAAF6/DAW1/DNAAF1/DNAI1/ODAD2/DNAH5/ZMYND10/DNAAF11/DNAAF8/DNAAF4/ODAD3/DNAL1",12
